card_no	is_active	card_category	network	last_updated
CARD00188  	N	CR	Meridian Primary	2024-05-11 00:00:00
CARD00749	Y	CR	Meridian Affiliate	2024-07-29 00:00:00
CARD00356	Y	DB	Meridian Primary	2021-05-13 00:00:00
CARD00370	Y	CR	Meridian Primary	2022-05-29 00:00:00
CARD00175	Y	CR	Meridian Primary	2021-08-28 00:00:00
CARD00360	Y	CR	Meridian Primary	2025-11-21 00:00:00
CARD00010	Y	CR	Meridian Direct	2025-11-07 00:00:00
CARD00140	Y	DB	Meridian Affiliate	2025-02-03 00:00:00
CARD00455	Y	DB	Meridian Primary	2021-11-01 00:00:00
CARD00114	Y	CR	Meridian Direct	2022-08-12 00:00:00
CARD00005	Y	CR	Meridian Primary	2025-09-29 00:00:00
CARD00543	Y	DB	Meridian Primary	2024-09-05 00:00:00
CARD00325	Y	DB	Meridian Affiliate	2025-07-16 00:00:00
CARD00400	Y	CR	Meridian Direct	2023-04-25 00:00:00
CARD99238	N	CR	Meridian Direct	2025-12-20 00:00:00
CARD00369	N	CR	Meridian Primary	2021-07-16 00:00:00
CARD00144	Y	DB	Meridian Primary	2024-01-18 00:00:00
 CARD00066 	Y	DB	Meridian Primary	2023-01-28 00:00:00
CARD00739	Y	CR	Meridian Primary	2024-05-24 00:00:00
CARD00373	Y	DB	Meridian Primary	2025-10-26 00:00:00
CARD00562	Y	CR	Meridian Primary	2025-05-21 00:00:00
CARD00347	N	DB	Meridian Primary	2025-11-10 00:00:00
CARD00025	Y	CR	Meridian Primary	2023-08-09 00:00:00
CARD00014	Y	PP	Meridian Primary	2022-06-10 00:00:00
CARD00471	N	DB	Meridian Primary	2019-09-18 00:00:00
CARD00351 	N	DB	Meridian Primary	2025-01-25 00:00:00
CARD00789	Y	CR	Meridian Primary	2024-06-20 00:00:00
CARD00103	Y	CR	Meridian Primary	2025-05-27 00:00:00
CARD00449	Y	PP	Meridian Primary	2022-02-23 00:00:00
CARD00714	Y	CR	Meridian Primary	2020-09-25 00:00:00
CARD00408	Y	CR	Meridian Primary	2025-10-11 00:00:00
CARD00105	Y	CR	Meridian Affiliate	2021-03-24 00:00:00
CARD00124	Y	DB	Meridian Primary	2025-11-01 00:00:00
CARD00288	Y	CR	Meridian Primary	2025-10-16 00:00:00
CARD00075	Y	CR	Meridian Direct	2025-07-02 00:00:00
CARD00047	Y	CR	Meridian Primary	2022-09-04 00:00:00
CARD00437	Y	DB	Meridian Primary	2019-09-30 00:00:00
CARD00509	Y	CR	Meridian Affiliate	2023-11-20 00:00:00
CARD00632	Y	CR	Meridian Direct	2025-04-18 00:00:00
CARD99306	Y	PP	Meridian Direct	2025-06-10 00:00:00
CARD00756	N	CR	Meridian Direct	2022-12-24 00:00:00
  CARD00743	Y	DB	Meridian Direct	2022-06-18 00:00:00
CARD00750	Y	DB	Meridian Primary	2024-05-21 00:00:00
CARD00496	Y	CR	Meridian Primary	2025-03-09 00:00:00
CARD00538	Y	DB	Meridian Primary	2025-08-12 00:00:00
CARD00656	Y	PP	Meridian Primary	2025-08-08 00:00:00
CARD00301	Y	CR	Meridian Primary	2024-07-10 00:00:00
CARD00559	Y	CR	Meridian Direct	2024-04-13 00:00:00
CARD00572	Y	CR	Meridian Direct	2025-10-07 00:00:00
CARD00027	Y	CR	Meridian Primary	2021-11-24 00:00:00
CARD00229	Y	CR	Meridian Direct	2024-03-21 00:00:00
CARD00410	N	PP	Meridian Primary	2024-10-17 00:00:00
CARD00716	Y	CR	Meridian Affiliate	2021-07-13 00:00:00
CARD00093	Y	DB	Meridian Direct	2020-10-25 00:00:00
CARD00523	Y	DB	Meridian Affiliate	2025-03-04 00:00:00
CARD00495	Y	DB	Meridian Primary	2022-07-28 00:00:00
CARD00531	Y	DB	Meridian Direct	2024-03-31 00:00:00
CARD00195	Y	CR	Meridian Primary	2025-11-11 00:00:00
CARD00389	Y	CR	Meridian Direct	2023-12-03 00:00:00
CARD00213	Y	PP	Meridian Primary	2022-10-23 00:00:00
CARD00468	Y	CR	Meridian Direct	2021-03-23 00:00:00
CARD00761	Y	CR	Meridian Primary	2025-01-07 00:00:00
CARD00009	Y	CR	Meridian Primary	2021-12-10 00:00:00
CARD00334	Y	CR	Meridian Primary	2025-11-07 00:00:00
CARD00306	Y	CR	Meridian Affiliate	2025-04-13 00:00:00
CARD00781	Y	CR	Meridian Direct	2025-05-27 00:00:00
CARD00112	Y	CR	Meridian Primary	2021-10-29 00:00:00
CARD00127	Y	CR	Meridian Direct	2025-05-21 00:00:00
CARD00533	Y	CR	Meridian Affiliate	2023-12-22 00:00:00
CARD00412	Y	CR	Meridian Affiliate	2022-07-07 00:00:00
CARD00239	Y	CR	Meridian Primary	2023-09-15 00:00:00
CARD00508	Y	DB	Meridian Primary	2021-05-30 00:00:00
CARD00069	Y	DB	Meridian Primary	2025-03-15 00:00:00
CARD00034	Y	CR	Meridian Affiliate	2024-12-19 00:00:00
CARD00650	Y	DB	Meridian Primary	2022-12-07 00:00:00
CARD00553	Y	CR	Meridian Primary	2025-12-28 00:00:00
CARD00744	N	CR	Meridian Primary	2025-02-21 00:00:00
CARD00107	Y	DB	Meridian Primary	2020-10-05 00:00:00
CARD00108	Y	CR	Meridian Direct	2023-04-12 00:00:00
CARD00150	Y	DB	Meridian Primary	2022-03-13 00:00:00
CARD00135	Y	CR	Meridian Affiliate	2021-10-30 00:00:00
CARD00238	Y	DB	Meridian Primary	2023-12-21 00:00:00
CARD00797	Y	CR	Meridian Affiliate	2024-04-20 00:00:00
CARD00196	Y	CR	Meridian Primary	2024-11-04 00:00:00
CARD00753	Y	DB	Meridian Primary	2020-03-23 00:00:00
CARD00723	Y	CR	Meridian Primary	2025-11-20 00:00:00
CARD00340	Y	DB	Meridian Primary	2025-12-29 00:00:00
CARD00110	Y	CR	Meridian Primary	2024-10-18 00:00:00
CARD00113	Y	DB	Meridian Affiliate	2024-10-18 00:00:00
CARD00193	Y	CR	Meridian Affiliate	2025-01-06 00:00:00
CARD00479	Y	CR	Meridian Affiliate	2022-05-15 00:00:00
CARD00040	Y	DB	Meridian Primary	2024-01-20 00:00:00
CARD00647	Y	DB	Meridian Primary	2023-04-23 00:00:00
CARD00176	Y	CR	Meridian Primary	2025-07-05 00:00:00
CARD00359	N	DB	Meridian Affiliate	2024-12-02 00:00:00
  CARD00551	Y	DB	Meridian Primary	2023-10-10 00:00:00
CARD00200	Y	CR	Meridian Direct	2023-12-06 00:00:00
CARD00244	Y	DB	Meridian Primary	2022-12-14 00:00:00
CARD00052	Y	DB	Meridian Direct	2025-10-22 00:00:00
CARD00341	Y	DB	Meridian Primary	2021-09-27 00:00:00
CARD00473	Y	DB	Meridian Primary	2024-01-07 00:00:00
CARD00487	Y	CR	Meridian Primary	2025-06-21 00:00:00
CARD00318	Y	DB	Meridian Primary	2025-11-06 00:00:00
CARD00358	Y	DB	Meridian Primary	2020-08-18 00:00:00
CARD00733	Y	DB	Meridian Primary	2021-03-05 00:00:00
CARD00365	Y	CR	Meridian Affiliate	2025-06-23 00:00:00
CARD00729	Y	DB	Meridian Primary	2024-07-25 00:00:00
CARD00564	Y	DB	Meridian Primary	2023-01-04 00:00:00
  CARD00474	Y	CR	Meridian Direct	2025-12-18 00:00:00
CARD00395	Y	CR	Meridian Primary	2025-12-30 00:00:00
CARD00222	Y	CR	Meridian Primary	2024-09-25 00:00:00
CARD00046	Y	CR	Meridian Primary	2025-02-15 00:00:00
CARD00397	Y	PP	Meridian Direct	2024-01-12 00:00:00
CARD00457	Y	CR	Meridian Primary	2023-10-22 00:00:00
CARD00438	N	CR	Meridian Direct	2023-10-13 00:00:00
 CARD00625 	Y	PP	Meridian Primary	2024-09-27 00:00:00
CARD00199	Y	PP	Meridian Direct	2025-10-26 00:00:00
CARD00352	Y	DB	Meridian Direct	2023-01-18 00:00:00
CARD00292	Y	DB	Meridian Primary	2025-06-19 00:00:00
CARD00328	Y	CR	Meridian Primary	2021-07-14 00:00:00
CARD00088	Y	CR	Meridian Primary	2025-12-13 00:00:00
CARD00456	Y	CR	Meridian Primary	2023-02-07 00:00:00
CARD00116	Y	CR	Meridian Direct	2021-04-20 00:00:00
CARD00619	Y	CR	Meridian Direct	2025-02-06 00:00:00
CARD00423	Y	CR	Meridian Primary	2020-09-03 00:00:00
CARD00715	Y	CR	Meridian Primary	2023-12-04 00:00:00
CARD00402	Y	CR	Meridian Affiliate	2025-07-21 00:00:00
CARD00399	Y	DB	Meridian Direct	2022-01-08 00:00:00
CARD00692	Y	CR	Meridian Primary	2025-11-28 00:00:00
CARD00611	Y	CR	Meridian Primary	2020-11-01 00:00:00
CARD00245	Y	DB	Meridian Primary	2023-06-25 00:00:00
CARD00255	Y	PP	Meridian Primary	2025-05-04 00:00:00
CARD00122	Y	CR	Meridian Direct	2025-04-09 00:00:00
CARD00071	Y	CR	Meridian Direct	2025-12-04 00:00:00
CARD00678	Y	DB	Meridian Primary	2024-12-10 00:00:00
CARD00722	Y	PP	Meridian Primary	2021-03-09 00:00:00
CARD00701	Y	CR	Meridian Primary	2020-10-19 00:00:00
CARD00491  	Y	CR	Meridian Primary	2021-05-27 00:00:00
CARD00413	Y	CR	Meridian Affiliate	2021-05-07 00:00:00
CARD00433	Y	CR	Meridian Primary	2025-08-20 00:00:00
CARD00731	Y	CR	Meridian Primary	2020-12-04 00:00:00
CARD00627	N	CR	Meridian Primary	2025-12-31 00:00:00
CARD00181	Y	CR	Meridian Primary	2020-11-14 00:00:00
CARD00394	Y	DB	Meridian Direct	2021-05-20 00:00:00
CARD00210	Y	CR	Meridian Primary	2023-12-25 00:00:00
CARD00573	Y	DB	Meridian Primary	2025-09-15 00:00:00
CARD00518	N	DB	Meridian Direct	2020-01-25 00:00:00
CARD00231	Y	CR	Meridian Direct	2022-11-28 00:00:00
CARD00520	N	CR	Meridian Primary	2025-08-19 00:00:00
CARD00574	Y	CR	Meridian Primary	2024-11-03 00:00:00
CARD00628	Y	PP	Meridian Direct	2022-02-27 00:00:00
CARD00086	Y	CR	Meridian Primary	2024-04-07 00:00:00
CARD00214	N	CR	Meridian Primary	2022-12-27 00:00:00
CARD00702	N	CR	Meridian Primary	2022-08-08 00:00:00
CARD00405	Y	CR	Meridian Primary	2024-09-26 00:00:00
CARD00594	Y	CR	Meridian Primary	2025-12-07 00:00:00
CARD00800	Y	DB	Meridian Affiliate	2022-01-03 00:00:00
CARD00267	Y	CR	Meridian Direct	2025-09-01 00:00:00
CARD00617	Y	CR	Meridian Primary	2025-08-19 00:00:00
CARD00640	Y	DB	Meridian Primary	2025-03-31 00:00:00
CARD00241 	Y	CR	Meridian Affiliate	2021-09-27 00:00:00
CARD00568	Y	PP	Meridian Primary	2025-09-10 00:00:00
CARD00590	Y	CR	Meridian Primary	2020-05-22 00:00:00
CARD00758	Y	CR	Meridian Primary	2020-06-06 00:00:00
CARD00185	Y	DB	Meridian Primary	2024-04-24 00:00:00
CARD00350	N	DB	Meridian Primary	2021-09-25 00:00:00
CARD00095	N	DB	Meridian Direct	2023-02-01 00:00:00
CARD00501 	N	CR	Meridian Direct	2023-03-12 00:00:00
CARD00777	N	CR	Meridian Primary	2021-05-20 00:00:00
CARD00765	Y	DB	Meridian Primary	2025-06-16 00:00:00
CARD00372	Y	PP	Meridian Primary	2022-12-18 00:00:00
CARD00676	N	DB	Meridian Affiliate	2024-12-12 00:00:00
CARD00353	Y	DB	Meridian Primary	2023-04-03 00:00:00
CARD00575	Y	CR	Meridian Direct	2025-09-29 00:00:00
CARD00796	Y	DB	Meridian Direct	2025-09-23 00:00:00
CARD00672	Y	DB	Meridian Direct	2024-04-15 00:00:00
CARD00074	Y	CR	Meridian Direct	2022-04-16 00:00:00
CARD00458	Y	CR	Meridian Primary	2022-09-22 00:00:00
CARD00332	Y	CR	Meridian Direct	2024-02-14 00:00:00
  CARD00008	Y	PP	Meridian Direct	2024-06-02 00:00:00
CARD00515	N	CR	Meridian Primary	2022-09-20 00:00:00
CARD00780	Y	CR	Meridian Primary	2020-05-29 00:00:00
CARD00610	Y	DB	Meridian Direct	2025-12-04 00:00:00
CARD00376	Y	CR	Meridian Primary	2021-05-09 00:00:00
CARD00155	Y	CR	Meridian Affiliate	2024-03-17 00:00:00
CARD00667	Y	PP	Meridian Primary	2023-08-24 00:00:00
CARD00158	Y	CR	Meridian Direct	2021-01-28 00:00:00
CARD00145	Y	CR	Meridian Primary	2024-12-08 00:00:00
CARD00059	Y	DB	Meridian Primary	2021-11-25 00:00:00
CARD00760	Y	PP	Meridian Direct	2023-05-17 00:00:00
CARD00230	N	DB	Meridian Primary	2022-11-19 00:00:00
CARD00608	Y	DB	Meridian Affiliate	2022-07-26 00:00:00
CARD00522	Y	CR	Meridian Primary	2025-09-18 00:00:00
CARD00349	Y	DB	Meridian Primary	2025-07-04 00:00:00
CARD00420	Y	CR	Meridian Direct	2025-08-06 00:00:00
CARD00326	Y	DB	Meridian Direct	2025-06-18 00:00:00
CARD00211	N	CR	Meridian Primary	2024-07-01 00:00:00
CARD00221	Y	DB	Meridian Primary	2024-06-25 00:00:00
CARD00764	Y	CR	Meridian Direct	2024-05-28 00:00:00
CARD00788	Y	CR	Meridian Primary	2022-09-23 00:00:00
CARD00061	Y	DB	Meridian Primary	2023-11-03 00:00:00
CARD00534	Y	PP	Meridian Primary	2023-08-10 00:00:00
CARD00514	N	DB	Meridian Direct	2025-08-08 00:00:00
CARD00056	Y	CR	Meridian Affiliate	2025-03-24 00:00:00
CARD00450	N	DB	Meridian Primary	2020-02-14 00:00:00
CARD00537	N	CR	Meridian Direct	2025-12-01 00:00:00
CARD00558	Y	CR	Meridian Primary	2024-07-08 00:00:00
CARD00375	Y	DB	Meridian Primary	2022-03-16 00:00:00
CARD00178	Y	CR	Meridian Primary	2021-12-08 00:00:00
CARD00599	N	DB	Meridian Primary	2025-06-20 00:00:00
CARD00279	Y	CR	Meridian Direct	2023-02-27 00:00:00
 CARD00421 	N	PP	Meridian Direct	2021-12-19 00:00:00
CARD00554	Y	DB	Meridian Primary	2025-06-19 00:00:00
CARD00050	Y	DB	Meridian Primary	2024-04-01 00:00:00
CARD00592	N	CR	Meridian Primary	2023-03-16 00:00:00
CARD00680	Y	CR	Meridian Direct	2025-11-23 00:00:00
CARD00170	Y	CR	Meridian Primary	2023-03-26 00:00:00
CARD00434	Y	CR	Meridian Primary	2023-07-24 00:00:00
CARD00740	Y	CR	Meridian Primary	2023-07-06 00:00:00
CARD00718	Y	DB	Meridian Affiliate	2022-10-04 00:00:00
CARD00500	Y	DB	Meridian Affiliate	2025-06-24 00:00:00
CARD00355	Y	DB	Meridian Primary	2019-11-12 00:00:00
CARD00690	Y	CR	Meridian Primary	2022-12-03 00:00:00
CARD00130	Y	CR	Meridian Primary	2025-11-09 00:00:00
CARD00063  	Y	CR	Meridian Direct	2021-03-09 00:00:00
CARD00570	Y	CR	Meridian Primary	2025-07-18 00:00:00
CARD00528	Y	DB	Meridian Primary	2021-08-22 00:00:00
  CARD00795	Y	DB	Meridian Primary	2024-02-11 00:00:00
CARD00791	Y	DB	Meridian Primary	2023-03-11 00:00:00
  CARD00560	Y	DB	Meridian Primary	2022-07-05 00:00:00
CARD00699  	Y	CR	Meridian Direct	2020-07-10 00:00:00
CARD00197	Y	PP	Meridian Direct	2022-05-30 00:00:00
CARD00644	Y	CR	Meridian Primary	2022-01-30 00:00:00
CARD00465	Y	CR	Meridian Affiliate	2021-12-11 00:00:00
CARD00194	Y	DB	Meridian Primary	2025-02-07 00:00:00
CARD00215	Y	DB	Meridian Direct	2023-04-12 00:00:00
CARD00362	Y	CR	Meridian Primary	2021-10-24 00:00:00
CARD00635	Y	CR	Meridian Primary	2023-09-23 00:00:00
CARD00277	Y	CR	Meridian Direct	2022-10-07 00:00:00
CARD00443	N	DB	Meridian Primary	2025-08-19 00:00:00
CARD00629	Y	DB	Meridian Primary	2021-11-03 00:00:00
CARD00023	Y	CR	Meridian Primary	2025-11-16 00:00:00
CARD00198	Y	CR	Meridian Direct	2025-07-31 00:00:00
CARD00317	Y	CR	Meridian Primary	2025-03-18 00:00:00
CARD00398	N	PP	Meridian Primary	2024-05-22 00:00:00
CARD00149	Y	DB	Meridian Direct	2024-09-05 00:00:00
CARD00031	Y	CR	Meridian Primary	2025-05-11 00:00:00
CARD00208	Y	DB	Meridian Primary	2022-01-13 00:00:00
CARD00094	Y	CR	Meridian Primary	2022-07-23 00:00:00
CARD00162	Y	DB	Meridian Primary	2025-11-15 00:00:00
CARD00651	Y	CR	Meridian Primary	2024-09-13 00:00:00
CARD00516	Y	DB	Meridian Primary	2025-08-05 00:00:00
CARD00260	Y	DB	Meridian Primary	2025-09-15 00:00:00
CARD00097	Y	CR	Meridian Primary	2023-06-08 00:00:00
CARD00561	Y	PP	Meridian Direct	2024-03-17 00:00:00
CARD00321	Y	DB	Meridian Direct	2025-01-13 00:00:00
CARD00481	Y	DB	Meridian Primary	2021-07-23 00:00:00
CARD99494	Y	PP	Meridian Primary	2025-10-03 00:00:00
CARD00504	N	CR	Meridian Direct	2022-06-01 00:00:00
CARD00732	Y	DB	Meridian Direct	2023-02-26 00:00:00
CARD00004	Y	DB	Meridian Primary	2024-09-12 00:00:00
CARD00683	Y	CR	Meridian Primary	2025-01-23 00:00:00
CARD00772	Y	CR	Meridian Direct	2025-06-11 00:00:00
CARD00454	N	CR	Meridian Affiliate	2025-12-09 00:00:00
CARD00330	Y	CR	Meridian Primary	2025-05-10 00:00:00
CARD00283	Y	CR	Meridian Primary	2022-06-06 00:00:00
CARD00462	Y	DB	Meridian Primary	2023-04-21 00:00:00
CARD00657	Y	DB	Meridian Primary	2022-07-19 00:00:00
CARD00513	Y	CR	Meridian Affiliate	2020-07-21 00:00:00
CARD00595	Y	CR	Meridian Direct	2023-01-08 00:00:00
CARD00463	Y	CR	Meridian Direct	2024-02-12 00:00:00
CARD00187	Y	DB	Meridian Primary	2021-07-29 00:00:00
CARD00779	Y	DB	Meridian Direct	2022-05-08 00:00:00
CARD00486	Y	CR	Meridian Affiliate	2025-08-24 00:00:00
CARD00223	Y	PP	Meridian Primary	2024-07-22 00:00:00
CARD00790	Y	DB	Meridian Affiliate	2023-01-13 00:00:00
CARD00121	Y	DB	Meridian Direct	2025-07-23 00:00:00
CARD00171	Y	DB	Meridian Primary	2023-07-05 00:00:00
CARD00707	Y	DB	Meridian Primary	2022-12-17 00:00:00
CARD00525	Y	PP	Meridian Direct	2024-11-30 00:00:00
CARD00273	Y	CR	Meridian Direct	2023-05-14 00:00:00
CARD00029	Y	DB	Meridian Primary	2025-10-06 00:00:00
CARD00730	Y	CR	Meridian Primary	2025-11-20 00:00:00
CARD00626	Y	PP	Meridian Primary	2025-06-10 00:00:00
CARD00378	Y	CR	Meridian Primary	2023-08-13 00:00:00
CARD00642	Y	CR	Meridian Primary	2023-12-22 00:00:00
CARD00374	Y	CR	Meridian Direct	2023-03-10 00:00:00
CARD00545	Y	DB	Meridian Primary	2021-11-04 00:00:00
CARD00032	Y	CR	Meridian Affiliate	2021-04-09 00:00:00
CARD00312	Y	CR	Meridian Primary	2025-05-12 00:00:00
CARD00403	Y	CR	Meridian Primary	2023-04-22 00:00:00
CARD00067	Y	CR	Meridian Primary	2020-06-27 00:00:00
CARD00015	N	DB	Meridian Primary	2021-08-14 00:00:00
CARD00022	Y	CR	Meridian Primary	2021-07-18 00:00:00
CARD00335	Y	DB	Meridian Primary	2025-11-17 00:00:00
CARD00541	Y	CR	Meridian Affiliate	2021-12-27 00:00:00
CARD00671	Y	DB	Meridian Primary	2025-04-29 00:00:00
CARD00224	Y	PP	Meridian Primary	2025-08-14 00:00:00
CARD00083	Y	CR	Meridian Primary	2025-12-24 00:00:00
CARD00281	N	DB	Meridian Direct	2022-05-07 00:00:00
CARD00532	Y	DB	Meridian Affiliate	2024-11-21 00:00:00
CARD00783	N	DB	Meridian Primary	2022-09-24 00:00:00
CARD00582	Y	CR	Meridian Affiliate	2024-04-27 00:00:00
CARD00713	Y	PP	Meridian Primary	2025-11-29 00:00:00
CARD00490	Y	CR	Meridian Direct	2025-03-17 00:00:00
CARD00751	Y	PP	Meridian Primary	2025-07-28 00:00:00
CARD00137	N	CR	Meridian Primary	2024-05-08 00:00:00
CARD00166	Y	CR	Meridian Direct	2024-12-12 00:00:00
CARD00585	Y	DB	Meridian Primary	2025-10-21 00:00:00
CARD00711	Y	DB	Meridian Direct	2021-08-24 00:00:00
CARD00087	Y	DB	Meridian Direct	2025-08-19 00:00:00
CARD00615	Y	CR	Meridian Direct	2025-12-23 00:00:00
CARD00719	N	CR	Meridian Primary	2025-12-30 00:00:00
CARD00393	Y	CR	Meridian Primary	2021-04-14 00:00:00
CARD00774	Y	DB	Meridian Primary	2023-07-08 00:00:00
CARD00192	Y	DB	Meridian Direct	2025-01-17 00:00:00
CARD00478	Y	PP	Meridian Primary	2025-05-15 00:00:00
CARD00057	Y	CR	Meridian Primary	2020-10-31 00:00:00
CARD00482	Y	DB	Meridian Direct	2025-09-05 00:00:00
CARD00725	Y	CR	Meridian Primary	2025-10-31 00:00:00
CARD00309	Y	DB	Meridian Direct	2022-02-13 00:00:00
CARD00401	N	DB	Meridian Primary	2025-06-06 00:00:00
CARD00331	Y	DB	Meridian Primary	2022-08-29 00:00:00
CARD00770	Y	CR	Meridian Direct	2024-12-06 00:00:00
CARD00792	Y	PP	Meridian Primary	2025-08-08 00:00:00
CARD00254	Y	DB	Meridian Primary	2020-06-30 00:00:00
CARD00167	Y	DB	Meridian Primary	2020-06-13 00:00:00
CARD00296	Y	CR	Meridian Primary	2025-07-29 00:00:00
CARD00307	Y	CR	Meridian Primary	2020-05-28 00:00:00
CARD00258	Y	CR	Meridian Affiliate	2025-05-07 00:00:00
CARD00712	Y	DB	Meridian Primary	2021-11-20 00:00:00
CARD00252	Y	CR	Meridian Primary	2025-04-20 00:00:00
CARD00488	Y	CR	Meridian Primary	2024-02-26 00:00:00
CARD00316	Y	DB	Meridian Direct	2021-08-27 00:00:00
CARD00697	Y	DB	Meridian Primary	2023-10-20 00:00:00
CARD00367	Y	DB	Meridian Affiliate	2020-12-30 00:00:00
CARD00670	Y	DB	Meridian Primary	2024-11-27 00:00:00
CARD00064	Y	CR	Meridian Primary	2023-01-23 00:00:00
CARD00406	Y	DB	Meridian Direct	2021-11-22 00:00:00
CARD00268	Y	CR	Meridian Direct	2025-10-19 00:00:00
CARD99960	Y	PP	Meridian Primary	2025-01-01 00:00:00
CARD99537	N	CR	Meridian Direct	2025-06-04 00:00:00
CARD00618	N	CR	Meridian Primary	2024-07-16 00:00:00
CARD00688	Y	DB	Meridian Primary	2025-09-18 00:00:00
CARD00164	Y	CR	Meridian Primary	2025-08-11 00:00:00
CARD00343	Y	DB	Meridian Primary	2021-06-18 00:00:00
CARD00448	Y	CR	Meridian Direct	2025-11-14 00:00:00
CARD00668	Y	CR	Meridian Primary	2025-12-04 00:00:00
CARD00152	N	DB	Meridian Primary	2021-11-12 00:00:00
CARD00007	Y	PP	Meridian Primary	2021-02-25 00:00:00
CARD00128	Y	CR	Meridian Direct	2025-08-08 00:00:00
CARD00257	Y	DB	Meridian Affiliate	2023-09-02 00:00:00
CARD00030	Y	CR	Meridian Primary	2023-09-16 00:00:00
CARD00621	Y	CR	Meridian Affiliate	2023-12-20 00:00:00
CARD00767	Y	DB	Meridian Direct	2020-06-14 00:00:00
CARD00217	Y	CR	Meridian Primary	2025-12-06 00:00:00
CARD00636	Y	CR	Meridian Primary	2023-10-30 00:00:00
CARD00299	Y	DB	Meridian Primary	2025-03-05 00:00:00
CARD00361	Y	DB	Meridian Primary	2019-06-02 00:00:00
CARD00154	Y	PP	Meridian Primary	2025-05-09 00:00:00
CARD00295	Y	CR	Meridian Primary	2024-01-28 00:00:00
CARD00096	Y	CR	Meridian Primary	2021-09-22 00:00:00
CARD00070	N	PP	Meridian Affiliate	2021-01-28 00:00:00
CARD00182	Y	DB	Meridian Primary	2025-05-08 00:00:00
CARD00414	Y	DB	Meridian Primary	2020-10-15 00:00:00
CARD00392	Y	DB	Meridian Primary	2022-07-19 00:00:00
CARD00054	Y	DB	Meridian Direct	2021-05-30 00:00:00
CARD00577	Y	CR	Meridian Primary	2023-09-19 00:00:00
CARD00160	Y	DB	Meridian Direct	2021-09-29 00:00:00
CARD00118	Y	PP	Meridian Primary	2025-05-12 00:00:00
CARD00293	N	DB	Meridian Direct	2025-05-28 00:00:00
CARD00754	Y	DB	Meridian Primary	2024-11-25 00:00:00
CARD00165	Y	CR	Meridian Primary	2023-01-17 00:00:00
CARD00275	Y	PP	Meridian Primary	2025-11-22 00:00:00
CARD00546	Y	CR	Meridian Primary	2024-04-13 00:00:00
CARD00294	Y	CR	Meridian Primary	2023-06-24 00:00:00
CARD99612	Y	CR	Meridian Direct	2025-02-04 00:00:00
CARD00485	Y	CR	Meridian Primary	2025-04-19 00:00:00
CARD00517	Y	CR	Meridian Primary	2025-12-12 00:00:00
CARD00489	N	CR	Meridian Affiliate	2023-07-12 00:00:00
CARD00755	Y	CR	Meridian Primary	2021-12-12 00:00:00
CARD00588	Y	CR	Meridian Primary	2023-02-21 00:00:00
CARD00598	Y	CR	Meridian Primary	2025-07-01 00:00:00
